Jawa Barat,SD,Perempuan,2144612,130579
Jawa Timur,SD,Perempuan,1322906,113899
Jawa Tengah,SD,Perempuan,1326459,105651
Sumatera Utara,SD,Perempuan,791939,77145
Banten,SD,Perempuan,566017,48153
Sulawesi Selatan,SD,Perempuan,426108,39174
Sumatera Selatan,SD,Perempuan,435247,35644
Jakarta,SD,Perempuan,389346,36484
Lampung,SD,Perempuan,397773,31446
Nusa Tenggara Timur,SD,Perempuan,336581,34328
Riau,SD,Perempuan,377534,35521
Sumatera Barat,SD,Perempuan,295037,27256
Kalimantan Barat,SD,Perempuan,275562,32852
Aceh,SD,Perempuan,232367,21685
Nusa Tenggara Barat,SD,Perempuan,242175,2206
Bali,SD,Perempuan,190701,14884
Kalimantan Timur,SD,Perempuan,196845,17279
Papua,SD,Perempuan,195611,18084
Jambi,SD,Perempuan,180953,16467
Kalimantan Selatan,SD,Perempuan,17907,16832
Yogyakarta,SD,Perempuan,14002,15499
Sulawesi Tengah,SD,Perempuan,150911,12997
Sulawesi Tenggara,SD,Perempuan,142048,15365
Kalimantan Tengah,SD,Perempuan,133107,13158
Sulawesi Utara,SD,Perempuan,104018,11185
Maluku,SD,Perempuan,101626,8815
Kepulauan Riau,SD,Perempuan,109468,9999
Bengkulu,SD,Perempuan,96677,9214
Kepulauan Bangka Belitung,SD,Perempuan,78764,7985
Sulawesi Barat,SD,Perempuan,71751,6808
Maluku Utara,SD,Perempuan,69224,5837
Papua Barat,SD,Perempuan,61937,5817
Gorontalo,SD,Perempuan,5465,4728
Kalimantan Utara,SD,Perempuan,37221,3404
Luar Negeri,SD,Perempuan,712,272
Jawa Barat,SD,Laki-laki,2305828,64492
Jawa Timur,SD,Laki-laki,1434446,64128
Jawa Tengah,SD,Laki-laki,1444524,53073
Sumatera Utara,SD,Laki-laki,857785,20994
Banten,SD,Laki-laki,613325,15706
Sulawesi Selatan,SD,Laki-laki,462853,14468
Sumatera Selatan,SD,Laki-laki,474166,16734
Jakarta,SD,Laki-laki,417631,1488
Lampung,SD,Laki-laki,433003,16097
Nusa Tenggara Timur,SD,Laki-laki,378682,9413
Riau,SD,Laki-laki,413099,11427
Sumatera Barat,SD,Laki-laki,32635,10646
Kalimantan Barat,SD,Laki-laki,304499,8128
Aceh,SD,Laki-laki,253586,13713
Nusa Tenggara Barat,SD,Laki-laki,264788,12186
Bali,SD,Laki-laki,206203,9287
Kalimantan Timur,SD,Laki-laki,214186,7252
Papua,SD,Laki-laki,231467,9056
Jambi,SD,Laki-laki,19635,7245
Kalimantan Selatan,SD,Laki-laki,195413,6987
Yogyakarta,SD,Laki-laki,150736,5981
